23629_2013B,0.825
25107_2013B,0.773636364
27891_2013B,0.691666667
29144_2013B,0.732222222
31663_2013B,0.792727273
33666_2013B,0.59
34229_2013B,0.88
34353_2013B,0.906
34431_2013B,0.8
34756_2013B,0.673333333
34863_2013B,0.739090909
35812_2013B,0.71
39655_2013B,0.830909091
50993_2013B,0.462222222
52899_2013B,0.76
58089_2013B,0.875
62631_2013B,0.804285714
70608_2013B,0.841818182
74695_2013B,0.918
74734_2013B,0.83
75399_2013B,0.729
78645_2013B,0.7325
82535_2013B,0.684545455
82741_2013B,0.749090909
83254_2013B,0.73
84245_2013B,0.871
84664_2013B,0.892
86291_2013B,0.87
87732_2013B,0.786
91322_2013B,0.822
92274_2013B,0.664
92832_2013B,0.761
92947_2013B,0.815
92993_2013B,0.767
94616_2013B,0.774444444
97154_2013B,0.907
98313_2013B,0.807272727
104054_2013B,0.946363636
108377_2013B,0.786
108589_2013B,0.887272727
109938_2013B,0.898181818
110881_2013B,0.779090909
116603_2013B,0.904
117071_2013B,0.73
120994_2013B,0.883333333
123860_2013B,0.779090909
126322_2013B,0.841428571
126411_2013B,1
133155_2013B,0.93
133748_2013B,0.76
141823_2013B,0.29
142324_2013B,0.777142857
143741_2013B,0.860909091
145544_2013B,0.86
147876_2013B,0.785714286
151697_2013B,0.890909091
152153_2013B,0.522857143
152910_2013B,0.822222222
152929_2013B,0.804444444
153212_2013B,0.835454545
153704_2013B,0.868333333
154027_2013B,0.733
154125_2013B,0.875555556
154540_2013B,0.791818182
156835_2013B,0.869
161678_2013B,0.4
165243_2013B,0.821
169515_2013B,0.59
170356_2013B,0.65
173316_2013B,0.585714286
173335_2013B,0.773333333
179605_2013B,0.753333333
182824_2013B,0.830909091
183806_2013B,0.95
185349_2013B,0.840909091
186670_2013B,0.72625
186780_2013B,0
186988_2013B,0.71125
187793_2013B,0.678
188152_2013B,0.875454545
192424_2013B,0.860909091
193822_2013B,0.867
197595_2013B,0.772727273
198956_2013B,0.911
199520_2013B,0.832727273
200905_2013B,0.587272727
203108_2013B,0.836
203481_2013B,0.784545455
204746_2013B,0.806363636
226374_2013B,0.816
226827_2013B,0.889090909
229240_2013B,0.717272727
229426_2013B,0.853
232695_2013B,0.84
235097_2013B,0.706
237304_2013B,0.825
237913_2013B,0.836666667
242149_2013B,0.6725
245404_2013B,0.836666667
247267_2013B,0.811111111
248103_2013B,0.821818182
249534_2013B,0.716363636
