1,4.5
2,4.5
3,4.5
4,5.0
5,5.0
6,4.5
7,4.5
8,4.0
9,4.0
10,4.5
11,5.0
12,4.5
13,5.0
14,5.0
15,5.0
16,5.0
17,5.0
18,4.5
19,4.5
20,4.5
21,3.5
22,4.0
23,4.0
24,4.5
25,4.5
26,4.0
27,4.5
28,5.0
29,5.0
30,4.5
31,4.0
32,5.0
33,4.0
34,5.0
35,3.5
36,5.0
37,4.5
38,4.5
39,4.5
40,3.0
41,5.0
42,4.0
43,4.5
44,4.5
45,4.5
46,4.0
47,4.0
48,4.5
49,4.5
50,4.0
51,4.0
52,5.0
53,4.5
54,4.5
55,4.5
56,4.5
57,4.5
58,4.5
59,4.0
60,4.0
61,4.5
62,4.0
63,5.0
64,4.0
65,4.0
66,4.5
67,4.5
68,5.0
69,4.0
70,5.0
71,5.0
72,4.0
73,4.0
74,5.0
75,5.0
76,4.0
77,4.0
78,5.0
79,4.5
80,5.0
81,5.0
82,4.0
83,4.5
84,4.5
85,5.0
86,5.0
87,4.5
88,5.0
89,3.5
90,4.5
91,5.0
92,4.5
93,4.5
94,5.0
95,5.0
96,5.0
97,4.5
98,5.0
99,4.0
100,0.0
101,0.0
102,4.0
103,0.0
104,4.5
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
