1,2.25
2,1.00
3,0.00
4,2.75
5,2.75
6,3.00
7,2.00
8,0.00
9,2.00
10,3.00
11,1.50
12,2.00
13,3.00
14,2.75
15,2.00
16,2.00
17,4.00
18,3.00
19,1.50
20,2.00
21,0.00
22,0.00
23,0.00
24,3.00
25,2.25
26,0.00
27,1.75
28,3.00
29,3.75
30,2.75
31,0.00
32,3.50
33,0.00
34,1.25
35,1.50
36,2.75
37,3.00
38,3.00
39,2.50
40,0.00
41,3.25
42,1.50
43,0.00
44,3.00
45,0.00
46,1.00
47,0.25
48,2.50
49,2.75
50,1.50
51,0.50
52,2.25
53,3.00
54,0.75
55,2.50
56,3.00
57,2.75
58,0.00
59,2.00
60,1.00
61,1.50
62,0.00
63,1.00
64,1.50
65,1.50
66,2.25
67,2.75
68,3.00
69,2.00
70,3.25
71,0.00
72,2.75
73,2.00
74,1.75
75,2.00
76,2.00
77,0.00
78,2.75
79,2.75
80,2.50
81,2.75
82,1.50
83,2.00
84,0.00
85,4.00
86,3.25
87,2.25
88,2.75
89,0.50
90,3.00
91,2.25
92,1.00
93,1.50
94,2.75
95,3.25
96,2.25
97,0.50
98,3.00
99,1.50
100,3.00
101,0.00
102,2.00
103,0.00
104,2.75
105,0.00
106,0.00
107,0.00
108,0.00
109,0.00
110,0.00
111,0.00
112,0.00
113,0.00
114,0.00
115,0.00
